domain	policy	dmarc-providers
talbotcountymd.gov	DNE	
tisburyma.gov	DNE	
volunteer.gov	reject	self,dhs-nppd,valimail
costamesaca.gov	DNE	
nifc.gov	reject	self,dhs-nppd,valimail
aikencountysc.gov	DNE	
calhouncountymi.gov	DNE	
chelseama.gov	DNE	
claytoncountyga.gov	DNE	
colchesterct.gov	DNE	
columbusga.gov	DNE	
diamondbarca.gov	DNE	
efiletexas.gov	DNE	
greenevilletn.gov	DNE	
hartford.gov	quarantine	unknown:alerts-soc@hartfordschools.org
hawaiicounty.gov	reject	self
idmanagement.gov	reject	self,dhs-nppd
issaquahwa.gov	DNE	
jacksonwy.gov	DNE	
keithcountyne.gov	DNE	
kenmorewa.gov	none	dmarcanalyzer
kingston-ny.gov	DNE	
leesburgva.gov	none	dmarcian
maplegrovemn.gov	DNE	
marshalltown-ia.gov	DNE	
montanaworks.gov	DNE	
morrowcountyohio.gov	DNE	
mrlc.gov	reject	self,dhs-nppd,valimail
mtbs.gov	reject	dhs-nppd,proofpoint
ncua.gov	none	self,dhs-nppd
needhamma.gov	DNE	
newarknj.gov	DNE	
nitrd.gov	DNE	
normandyparkwa.gov	DNE	
nrd.gov	DNE	
or-medicaid.gov	DNE	
poolsafely.gov	reject	dhs-nppd,self
putnamcountytn.gov	none	self
roanokecountyva.gov	none	self
salisburyma.gov	DNE	
sandpointidaho.gov	DNE	
section508.gov	reject	self,dhs-nppd
sequimwa.gov	DNE	
springfield-ma.gov	DNE	
sugargroveil.gov	DNE	
templetx.gov	DNE	
thecolonytx.gov	DNE	
usagm.gov	none	self,dhs-nppd,postmarkapp
vt.gov	DNE	
willingboronj.gov	DNE	
wilsoncountytn.gov	DNE	
wylietexas.gov	DNE	
frederickco.gov	DNE	
unioncountyil.gov	DNE	
intelligence.gov	DNE	
apprenticeship.gov	reject	self,dhs-nppd
simsbury-ct.gov	DNE	
colliercountyfl.gov	none	self
anstaskforce.gov	reject	self,dhs-nppd
code.gov	reject	self,dhs-nppd
fairfaxva.gov	DNE	
ars-grin.gov	none	self,dhs-nppd,proofpoint
merrimacknh.gov	DNE	
alabamavotes.gov	DNE	
alaskacenters.gov	reject	self,dhs-nppd,valimail
antiochca.gov	DNE	
azarts.gov	DNE	
azcorrections.gov	DNE	
azdeq.gov	DNE	
bacacountyco.gov	DNE	
bedfordtx.gov	DNE	
bellairetx.gov	DNE	
beltontexas.gov	DNE	
blissfieldmichigan.gov	DNE	
brazoriacountytx.gov	DNE	
brazoscountytx.gov	DNE	
brla.gov	DNE	
capitolheightsmd.gov	DNE	
carrollton-ga.gov	DNE	
cfo.gov	reject	self,dhs-nppd
charlescountymd.gov	DNE	
cio.gov	reject	self,dhs-nppd
cityofhiramga.gov	DNE	
claimittn.gov	DNE	
cns.gov	none	dhs-nppd
coltonca.gov	DNE	
concordnh.gov	DNE	
coppelltx.gov	DNE	
davie-fl.gov	DNE	
dutchessny.gov	DNE	
energyhelpohio.gov	DNE	
fedshirevets.gov	reject	self,dhs-nppd
fl.gov	DNE	
flboardofmedicine.gov	DNE	
floridasnursing.gov	DNE	
grantspassoregon.gov	none	self
greenecountyva.gov	DNE	
guam.gov	DNE	
guilfordcountync.gov	DNE	
hamptonga.gov	DNE	
harp.gov	reject	postmarkapp,dhs-nppd
hopewellva.gov	DNE	
huntsvilleal.gov	none	self
imls.gov	reject	self,dhs-nppd
iowacourts.gov	DNE	
iprcenter.gov	reject	
kinggeorgecountyva.gov	DNE	
knoxvilletn.gov	DNE	
leaguecitytx.gov	DNE	
leominster-ma.gov	DNE	
lexingtonma.gov	DNE	
longbeachny.gov	DNE	
lovelandoh.gov	DNE	
lsc.gov	DNE	
makinghomeaffordable.gov	reject	self,dhs-nppd
mtc.gov	DNE	
murrietaca.gov	DNE	
ndstudies.gov	DNE	
njmeadowlands.gov	DNE	
njt.gov	DNE	
nsep.gov	DNE	
ohiosenate.gov	DNE	
oregonstudentaid.gov	DNE	
palmspringsca.gov	DNE	
pasco-wa.gov	DNE	
radfordva.gov	DNE	
readingpa.gov	DNE	
richmondtx.gov	DNE	
rochelleparknj.gov	DNE	
rosenbergtx.gov	DNE	
sandisfieldma.gov	DNE	
santafenm.gov	DNE	
sbmtd.gov	invalid	
sebastiancountyar.gov	DNE	
sf.gov	DNE	
smyrnaga.gov	DNE	
stateoig.gov	reject	self,dhs-nppd
sugarlandtx.gov	DNE	
summitcountyco.gov	DNE	
tax.gov	reject	self,dhs-nppd
townofpalermony.gov	DNE	
usds.gov	DNE	
wallawallawa.gov	DNE	
waterfordmi.gov	DNE	
wiltonnh.gov	DNE	
wrga.gov	DNE	
wvdnr.gov	DNE	
wyoleg.gov	DNE	
ycsoaz.gov	DNE	
yonkersny.gov	DNE	
econsumer.gov	reject	dhs-nppd
villageofpeninsula-oh.gov	DNE	
usmission.gov	reject	self,dhs-nppd
mcc.gov	reject	dhs-nppd,self
pmi.gov	reject	self,dhs-nppd
stcharlescitymo.gov	DNE	
nlm.gov	reject	agari,dhs-nppd
gahanna.gov	DNE	
enem.gov	DNE	
www.gov	DNE	
ojp.gov	reject	dhs-nppd,self
pepfar.gov	reject	self,dhs-nppd
broadbandmap.gov	reject	self,dhs-nppd
donaciondeorganos.gov	reject	agari,dhs-nppd
usphs.gov	reject	agari,dhs-nppd
docline.gov	reject	agari,dhs-nppd
boem.gov	reject	self,dhs-nppd,valimail
bsee.gov	reject	self,dhs-nppd,valimail
fgdc.gov	reject	self,dhs-nppd,valimail
vidol.gov	DNE	
ab-tech.gov	DNE	
agingstats.gov	reject	agari,dhs-nppd
albemarlenc.gov	DNE	
aldoi.gov	DNE	
allentownpa.gov	DNE	
amherstnh.gov	DNE	
applicationmanager.gov	reject	self,dhs-nppd
auburnwa.gov	DNE	
avonct.gov	DNE	
azahcccs.gov	none	self
azgovernor.gov	DNE	
azica.gov	DNE	
azland.gov	DNE	
azunclaimed.gov	DNE	
ballotready.gov	DNE	
bevercountypa.gov	DNE	
bigsandytx.gov	DNE	
binghamton-ny.gov	DNE	
biopreferred.gov	reject	self,dhs-nppd,proofpoint
bonnercountyid.gov	DNE	
brookhavenny.gov	DNE	
burbankca.gov	DNE	
canalwinchesterohio.gov	DNE	
capemaycountynj.gov	DNE	
cathedralcity.gov	DNE	
cbca.gov	reject	self,dhs-nppd
centervilletx.gov	DNE	
centrecountypa.gov	DNE	
champaignil.gov	DNE	
chcoc.gov	reject	self,dhs-nppd
chemungcountyny.gov	none	self
childstats.gov	reject	self,dhs-nppd
chowancounty-nc.gov	DNE	
cityofboston.gov	none	self
cityofeudoraks.gov	DNE	
cityofmidlandmi.gov	DNE	
collegeparkmd.gov	DNE	
colrain-ma.gov	DNE	
concordnc.gov	DNE	
covinaca.gov	DNE	
cravencountync.gov	DNE	
creedthoughts.gov	DNE	
crisisnextdoor.gov	DNE	
cutlerbay-fl.gov	DNE	
dems.gov	DNE	
dmv.gov	DNE	
dojmt.gov	DNE	
dol-esa.gov	reject	self,dhs-nppd
dolks.gov	DNE	
douglascounty-ne.gov	DNE	
duluthmn.gov	DNE	
dyersburgtn.gov	DNE	
eastvaleca.gov	DNE	
fasfa.gov	DNE	
fayetteville-ar.gov	DNE	
fdicoig.gov	reject	agari,dhs-nppd
fitchburgwi.gov	DNE	
flauditor.gov	DNE	
flcrc.gov	DNE	
flhealthcomplaint.gov	DNE	
florence-nj.gov	DNE	
floridaelectionwatch.gov	DNE	
framinghamma.gov	DNE	
franklintn.gov	DNE	
g5.gov	reject	self,dhs-nppd
georgiacourts.gov	DNE	
glennheightstx.gov	DNE	
goldsboronc.gov	DNE	
gop.gov	DNE	
greenwoodsc.gov	DNE	
halifaxcountyva.gov	DNE	
hanoverva.gov	DNE	
harrisonburgva.gov	DNE	
healtherarizonaplus.gov	DNE	
healthysd.gov	DNE	
heathcare.gov	DNE	
heathearizona.gov	DNE	
hempsteadny.gov	DNE	
herdon-va.gov	DNE	
highlandparkmi.gov	DNE	
history.gov	reject	dhs-nppd
hopi-nsn.gov	DNE	
hudoig.gov	DNE	
hurontownship-mi.gov	DNE	
illinoisattorneygeneral.gov	DNE	
indianaunclaimed.gov	DNE	
inl.gov	reject	proofpoint,dhs-nppd,self
insurekidsnow.gov	reject	agari,dhs-nppd
iowaattorneygeneral.gov	DNE	
iowatreasurer.gov	DNE	
jccs.gov	DNE	
jct.gov	none	self,returnpath
jeffersoncitymo.gov	DNE	
kansasemployer.gov	DNE	
kansastag.gov	DNE	
kauai.gov	DNE	
kentcountymi.gov	DNE	
klamathrestoration.gov	reject	self,dhs-nppd
lafayettela.gov	DNE	
lakeforestca.gov	DNE	
lakewoodnj.gov	DNE	
lawtonok.gov	DNE	
leandertx.gov	DNE	
lebanonnh.gov	DNE	
lehi-ut.gov	DNE	
lep.gov	reject	dhs-nppd,self
longportnj.gov	DNE	
lummi-nsn.gov	quarantine	dmarcian,self
lunenburgma.gov	DNE	
madisoncountyal.gov	none	self
mansfieldtexas.gov	DNE	
manufacturing.gov	reject	self,dhs-nppd
masshealth.gov	DNE	
mcncourts.gov	DNE	
mediacdcrca.gov	DNE	
meridenct.gov	DNE	
milwaukieoregon.gov	DNE	
montgomerytexas.gov	DNE	
morgantownwv.gov	DNE	
muskegon-mi.gov	DNE	
mymoney.gov	reject	self,dhs-nppd
nagb.gov	reject	dhs-nppd,unknown:dmarc+nagb@quotient-inc.com,self
narragansettri.gov	DNE	
nationalgangcenter.gov	reject	unknown:knickens@iir.com,dhs-nppd,self
nclamp.gov	DNE	
ncrec.gov	DNE	
nevadaunclaimedproperty.gov	DNE	
newportoregon.gov	DNE	
nicic.gov	reject	dhs-nppd,self
nicsezcheckfbi.gov	reject	self,dhs-nppd
nixonlibrary.gov	reject	dhs-nppd
nm.gov	DNE	
nolensvilletn.gov	DNE	
normanok.gov	DNE	
northandoverma.gov	DNE	
nylottery.gov	DNE	
oakparkmi.gov	DNE	
obamalibrary.gov	reject	dhs-nppd
ohiopmp.gov	DNE	
oksenate.gov	DNE	
ottawaks.gov	DNE	
owascony.gov	DNE	
palmettobay-fl.gov	DNE	
paulding.gov	DNE	
pearlandtx.gov	none	dmarcanalyzer
plymouth-ma.gov	DNE	
portalesnm.gov	DNE	
promise.gov	DNE	
reaganlibrary.gov	reject	dhs-nppd
recalls.gov	reject	dhs-nppd,self
results.gov	DNE	
riversideoh.gov	DNE	
roanokeva.gov	DNE	
rochestermn.gov	DNE	
rosebudsiouxtribe-nsn.gov	DNE	
roswell-nm.gov	DNE	
rrnm.gov	DNE	
saferproducts.gov	reject	dhs-nppd,self
scdps.gov	DNE	
scottcountymn.gov	DNE	
seatacwa.gov	DNE	
seekonk-ma.gov	DNE	
sherwoodoregon.gov	none	self
shreveportla.gov	DNE	
smart.gov	reject	dhs-nppd,self
stb.gov	reject	self,dhs-nppd
stlouiscountymn.gov	DNE	
stlucieco.gov	DNE	
stow-ma.gov	DNE	
sturgis-sd.gov	DNE	
sumtersc.gov	quarantine	self
taylorsvilleut.gov	DNE	
thurstoncountywa.gov	DNE	
townofmaynard-ma.gov	DNE	
troymi.gov	DNE	
trs.gov	DNE	
